Var1,Var2,Freq
MONDO:0004706,ICD9CM:373.34,11
MONDO:0001812,ICD9CM:373.6,11
MONDO:0004785,ICD9CM:373.9,11
MONDO:0001519,ICD9CM:374.00,11
MONDO:0001591,ICD9CM:374.01,11
MONDO:0001636,ICD9CM:374.02,11
MONDO:0001518,ICD9CM:374.03,11
MONDO:0001637,ICD9CM:374.04,11
MONDO:0001695,ICD9CM:374.11,11
MONDO:0002042,ICD9CM:374.12,11
MONDO:0001582,ICD9CM:374.14,11
MONDO:0000728,ICD9CM:374.30,11
MONDO:0002660,ICD9CM:374.34,11
MONDO:0007769,ICD9CM:374.52,11
MONDO:0006561,ICD9CM:374.53,11
MONDO:0004804,ICD9CM:375.00,11
MONDO:0004812,ICD9CM:375.01,11
MONDO:0001918,ICD9CM:375.21,11
MONDO:0001792,ICD9CM:375.22,11
MONDO:0004926,ICD9CM:375.30,11
MONDO:0004054,ICD9CM:375.31,11
MONDO:0001610,ICD9CM:375.32,11
MONDO:0004924,ICD9CM:375.41,11
MONDO:0004925,ICD9CM:375.42,11
MONDO:0001767,ICD9CM:375.52,11
MONDO:0006881,ICD9CM:376.01,11
MONDO:0001232,ICD9CM:376.03,11
MONDO:0001849,ICD9CM:376.10,11
MONDO:0001048,ICD9CM:376.11,11
MONDO:0001511,ICD9CM:376.21,11
MONDO:0001643,ICD9CM:376.22,11
MONDO:0004770,ICD9CM:376.30,11
MONDO:0004929,ICD9CM:376.31,11
MONDO:0001210,ICD9CM:376.50,11
MONDO:0001915,ICD9CM:376.81,11
MONDO:0003608,ICD9CM:377.10,11
MONDO:0001084,ICD9CM:377.11,11
MONDO:0001006,ICD9CM:377.14,11
MONDO:0001086,ICD9CM:377.15,11
MONDO:0001746,ICD9CM:377.21,11
MONDO:0008331,ICD9CM:377.24,11
MONDO:0001895,ICD9CM:377.32,11
MONDO:0001385,ICD9CM:377.75,11
MONDO:0004896,ICD9CM:378.00,11
MONDO:0004913,ICD9CM:378.05,11
MONDO:0001392,ICD9CM:378.11,11
MONDO:0001281,ICD9CM:378.15,11
MONDO:0004893,ICD9CM:378.31,11
MONDO:0004897,ICD9CM:378.32,11
MONDO:0001143,ICD9CM:378.50,11
MONDO:0001144,ICD9CM:378.51,11
MONDO:0001145,ICD9CM:378.52,11
MONDO:0001527,ICD9CM:378.81,11
MONDO:0003417,ICD9CM:378.86,11
MONDO:0001718,ICD9CM:379.00,11
MONDO:0001439,ICD9CM:379.01,11
MONDO:0004170,ICD9CM:379.02,11
MONDO:0001804,ICD9CM:379.03,11
MONDO:0001774,ICD9CM:379.07,11
MONDO:0001321,ICD9CM:379.11,11
MONDO:0001271,ICD9CM:379.32,11
MONDO:0002310,ICD9CM:379.33,11
MONDO:0001906,ICD9CM:379.34,11
MONDO:0001655,ICD9CM:379.55,11
MONDO:0005328,ICD9CM:379.90,11
MONDO:0001053,ICD9CM:380.11,11
MONDO:0001050,ICD9CM:380.14,11
MONDO:0006532,ICD9CM:380.21,11
MONDO:0001312,ICD9CM:381.01,11
MONDO:0002737,ICD9CM:381.03,11
MONDO:0001313,ICD9CM:381.04,11
MONDO:0001212,ICD9CM:381.4,11
MONDO:0002172,ICD9CM:381.50,11
MONDO:0001064,ICD9CM:381.51,11
MONDO:0002170,ICD9CM:381.52,11
MONDO:0004866,ICD9CM:381.9,11
MONDO:0001920,ICD9CM:382.3,11
MONDO:0005975,ICD9CM:382.4,11
