mid,versionedIcd
MONDO:0021678,ICD10CM:A54.5A54.5
MONDO:0024355,ICD10CM:A54.5A54.5
MONDO:0004277,ICD10CM:A54.9A54.9
MONDO:0021678,ICD10CM:A54.9A54.9
MONDO:0005701,ICD10CM:A56.01A56.01
MONDO:0024505,ICD10CM:A56.01A56.01
MONDO:0005701,ICD10CM:A56.3A56.3
MONDO:0024505,ICD10CM:A56.3A56.3
MONDO:0021681,ICD10CM:A56.8A56.8
MONDO:0000922,ICD10CM:A59.01A59.01
MONDO:0030720,ICD10CM:A59.01A59.01
MONDO:0005993,ICD10CM:A59.09A59.09
MONDO:0024505,ICD10CM:A59.09A59.09
MONDO:0030708,ICD10CM:A59.09A59.09
MONDO:0002154,ICD10CM:A59.8A59.8
MONDO:0021681,ICD10CM:A59.8A59.8
MONDO:0002154,ICD10CM:A59.9A59.9
MONDO:0021681,ICD10CM:A59.9A59.9
MONDO:0004609,ICD10CM:A60.00A60.00
MONDO:0021681,ICD10CM:A60.00A60.00
MONDO:0024505,ICD10CM:A60.00A60.00
MONDO:0004609,ICD10CM:A60.01A60.01
MONDO:0021681,ICD10CM:A60.01A60.01
MONDO:0024505,ICD10CM:A60.01A60.01
MONDO:0004609,ICD10CM:A60.02A60.02
MONDO:0021681,ICD10CM:A60.02A60.02
MONDO:0024505,ICD10CM:A60.02A60.02
MONDO:0004609,ICD10CM:A60.03A60.03
MONDO:0021681,ICD10CM:A60.03A60.03
MONDO:0024505,ICD10CM:A60.03A60.03
MONDO:0004609,ICD10CM:A60.04A60.04
MONDO:0021681,ICD10CM:A60.04A60.04
MONDO:0024505,ICD10CM:A60.04A60.04
MONDO:0004609,ICD10CM:A60.09A60.09
MONDO:0021681,ICD10CM:A60.09A60.09
MONDO:0024505,ICD10CM:A60.09A60.09
MONDO:0000916,ICD10CM:A60.1A60.1
MONDO:0001593,ICD10CM:A60.1A60.1
MONDO:0004609,ICD10CM:A60.1A60.1
MONDO:0021201,ICD10CM:A60.1A60.1
MONDO:0021681,ICD10CM:A60.1A60.1
MONDO:0044965,ICD10CM:A60.1A60.1
MONDO:0004609,ICD10CM:A60.9A60.9
MONDO:0021681,ICD10CM:A60.9A60.9
MONDO:0024505,ICD10CM:A60.9A60.9
MONDO:0001209,ICD10CM:A63.0A63.0
MONDO:0005647,ICD10CM:A63.0A63.0
MONDO:0021201,ICD10CM:A63.0A63.0
MONDO:0021681,ICD10CM:A64A64
MONDO:0019633,ICD10CM:A68.9A68.9
MONDO:0019632,ICD10CM:A69.20A69.20
MONDO:0019632,ICD10CM:A69.23A69.23
MONDO:0019632,ICD10CM:A69.29A69.29
MONDO:0021839,ICD10CM:A69.9A69.9
MONDO:0005701,ICD10CM:A74.9A74.9
MONDO:0019359,ICD10CM:A77.0A77.0
MONDO:0001195,ICD10CM:A77.40A77.40
MONDO:0016003,ICD10CM:A77.40A77.40
MONDO:0001195,ICD10CM:A77.49A77.49
MONDO:0016003,ICD10CM:A77.49A77.49
MONDO:0001195,ICD10CM:A77.9A77.9
MONDO:0006956,ICD10CM:A78A78
MONDO:0019186,ICD10CM:A78A78
MONDO:0021678,ICD10CM:A78A78
MONDO:0006956,ICD10CM:A79.9A79.9
MONDO:0021678,ICD10CM:A79.9A79.9
MONDO:0017373,ICD10CM:A80.39A80.39
MONDO:0024505,ICD10CM:A80.39A80.39
MONDO:0017373,ICD10CM:A80.9A80.9
MONDO:0024505,ICD10CM:A80.9A80.9
MONDO:0005042,ICD10CM:A81.00A81.00
MONDO:0016079,ICD10CM:A81.00A81.00
MONDO:0018686,ICD10CM:A81.00A81.00
MONDO:0022687,ICD10CM:A81.00A81.00
MONDO:0005042,ICD10CM:A81.2A81.2
MONDO:0016318,ICD10CM:A81.2A81.2
MONDO:0020800,ICD10CM:A81.2A81.2
MONDO:0024318,ICD10CM:A81.2A81.2
MONDO:0005042,ICD10CM:A83.3A83.3
MONDO:0005969,ICD10CM:A83.3A83.3
MONDO:0020731,ICD10CM:A83.3A83.3
MONDO:0005042,ICD10CM:A85.8A85.8
MONDO:0019384,ICD10CM:A85.8A85.8
